Country Name,Country Code,Time,Time Code,CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
Africa Eastern and Southern,AFE,2015,YR2015,0.273490385529069,10.3,16.4074966827021,..,8.79500007629395,42.8348999023438,..,..,25.4179109777751,19.2708246974526,..,..,4.81508517265319,61.8564524336049,78.3119995436753,3658.71877634423,1538.55226805656,3.11840987590196,0.0906019869672861,..,54.4461507346773,5.25017086354882,394925,3.92307692307692,69.8691858575132,..,..,2.80258713657233,1497409.75,..
Africa Eastern and Southern,AFE,2016,YR2016,0.261358571902132,..,16.4809950724042,..,8.99787044525146,42.6974601745605,..,..,23.6153018189378,19.5227337176359,..,..,4.82187509536743,62.4440448894169,77.7984161004067,3654.77359688582,1534.92474634033,1.89599951281312,-0.235775006903822,..,50.98839221003,6.57139642173959,-864708,4.07692307692308,67.3639290496706,..,..,2.72815977582972,1476594,..
Africa Eastern and Southern,AFE,2017,YR2017,0.255395815449263,..,16.0321164944269,..,9.11867046356201,42.6664695739746,..,..,24.323035090395,21.5468520756172,..,..,4.86255502700805,62.9223846035263,77.2970533944139,3659.36114645769,1534.6834817547,0.990429978150364,-0.0157183331764656,..,50.019707333093,6.39934341569383,-343075,4.30769230769231,65.0910528384151,..,..,2.65567277976353,1524124.875,..
Africa Eastern and Southern,AFE,2018,YR2018,0.243792122132981,..,15.3134086075093,..,9.16394996643066,42.5035285949707,..,..,21.6578705085223,19.4976502577688,..,..,4.83458995819092,63.3658579512382,76.6907072725473,3661.76917163842,1533.52410778478,1.34506651736447,-0.0755448262587493,..,52.9779778270727,4.720811388773,-366105,4.53846153846154,62.8571893618424,..,..,2.68837259222772,1549262.75,..
Africa Eastern and Southern,AFE,2019,YR2019,0.239219354343505,..,15.2421529056864,..,9.09615039825439,42.5087509155273,..,..,22.3408237163028,19.952008552786,..,..,4.60008430480957,63.7556736140197,76.0285913109756,3648.70876168593,1523.77505527798,1.50255045767619,-0.635728676015617,..,50.1242823030652,4.12024587014984,-187410,4.53846153846154,60.8559168091663,..,..,2.69113551540509,1576546.875,..
Africa Eastern and Southern,AFE,2020,YR2020,..,..,15.6129390760372,..,9.55309963226318,42.5964317321777,..,..,20.8281515665125,19.6911446061121,..,..,4.60817003250122,63.3138559861117,75.3108879412905,3455.51625229797,1438.87610426441,1.39121454852466,-5.57161969015738,..,46.561363320556,6.36296055300016,-48955,..,59.0873088673173,..,..,2.67818481620223,1633016.625,..
Africa Eastern and Southern,AFE,2021,YR2021,..,..,15.0099012358574,..,..,..,..,..,19.8861056539056,20.3548517326225,..,..,..,..,74.5651744632509,3517.76696572023,1464.0472250791,4.92452050286266,1.74935984690359,..,52.3121799179126,6.07932754164423,-179444,..,57.2847270993243,..,..,2.60747273691268,..,..
Africa Western and Central,AFW,2015,YR2015,0.119106528773864,8.1,8.24781663218324,..,9.76731967926025,45.2688484191895,..,..,19.5748727847089,17.1135220432506,..,..,3.05729007720947,56.1958723463673,83.3977473575036,4143.12096399014,1876.62348318848,2.03963889618775,0.0212415745192658,11.5928188959109,37.7278641313012,2.13026806151513,-360393,5.59090909090909,109.185388765793,..,..,2.72331733741717,1363661.375,..
Africa Western and Central,AFW,2016,YR2016,0.122733810008459,..,8.25294829516739,..,9.53899955749512,43.8906593322754,..,..,19.7029608411387,15.7495423807095,..,..,2.78058004379273,56.5816784850503,82.9972382870969,4050.29594832516,1829.13155071614,2.01826575978564,-2.53071182886667,..,36.2972987602847,1.49456366409864,-167286,5.68181818181818,106.891019087017,..,..,2.71305851036988,1383083.125,..
Africa Western and Central,AFW,2017,YR2017,0.117390946224459,..,7.79545573434128,..,9.65606021881104,44.3893814086914,6.97144147196865,12.5307121163971,18.522381563927,17.3217274404926,..,..,3.43021988868713,56.888445830282,82.4827191631819,4045.30326282761,1821.99636790423,2.58317691176874,-0.390085820187039,..,40.1766203227233,1.76463495159564,-200823,5.86363636363636,104.627006239061,..,..,2.70626607586351,1480523.875,..
